step,visible,err_obs_gt,err_obs_pf,gt_d,pf_d,obs_d
166,1,0.0,1.770267238838284,3.360411719582547,4.887426988618071,3.3604116439819336
167,1,0.0,1.8128895950054071,3.3608660745708887,4.921265611059367,3.360866069793701
168,1,0.0,1.8554672228819833,3.361441036446768,4.955215492751778,3.361441135406494
169,1,0.0,1.8979085472939918,3.362133679047113,4.988650740412809,3.362133741378784
170,1,0.0,1.9405873675684948,3.36294437339294,5.022556892353321,3.3629443645477295
171,1,0.0,1.9836218368898846,3.3638744873623287,5.056726590909012,3.3638744354248047
172,1,0.0,2.0258266821391406,3.3649231778709967,5.090164971269811,3.3649232387542725
173,1,0.0,2.068983154394229,3.3660896543509122,5.124405919232236,3.3660895824432373
174,1,0.0,2.111219296054763,3.367374040362825,5.157895191802218,3.3673741817474365
175,1,0.0,2.15395695113229,3.3687761811921115,5.1916329642436345,3.3687760829925537
176,1,0.0,2.1966997999934708,3.370295892730345,5.225775915481495,3.370296001434326
177,1,0.0,2.239603811915329,3.371933586887246,5.259914515680918,3.3719334602355957
178,1,0.0,2.282018830755415,3.373688803807016,5.293574542789911,3.3736886978149414
179,1,0.0,2.3241594494079063,3.3755596344991496,5.327093160671881,3.3755598068237305
180,1,0.0,2.3668023203087167,3.377548385902767,5.360918720940079,3.3775484561920166
181,1,0.0,2.4093696676582605,3.3796548129371837,5.394466747661262,3.379654884338379
182,1,0.0,2.452003257133185,3.3818769918023643,5.428132823640716,3.3818771839141846
183,1,0.0,2.495153679770078,3.384214401051217,5.462505880978461,3.384214401245117
184,1,0.0,2.537696553278573,3.3866700232707734,5.4961093182370515,3.3866701126098633
185,1,0.0,2.5807646771355004,3.3892406238213857,5.530144918342754,3.3892405033111572
186,1,0.0,2.6234357561378348,3.3919267860695386,5.563911016781841,3.3919267654418945
187,1,0.0,2.6658554682060993,3.3947278921776673,5.597423427336946,3.394727945327759
188,1,0.0,2.7085919615760554,3.3976434488236307,5.631030924578793,3.397643566131592
189,1,0.0,2.7517034099660904,3.400674894581164,5.66520296130924,3.400674819946289
190,1,0.0,2.7943024794841143,3.403818934235459,5.698982035118345,3.4038188457489014
191,1,0.0,2.8376743504446784,3.4070769698196726,5.733401247447969,3.407076835632324
192,1,0.0,2.8800859203800453,3.4104489775260634,5.7669196790670965,3.4104490280151367
193,1,0.0,2.9228355846249405,3.413934302431965,5.800809892045494,3.4139342308044434
194,1,0.0,2.9654310751381012,3.4175334091062717,5.834588871881558,3.4175333976745605
195,1,0.0,3.008058098176575,3.421244913600684,5.868372658741146,3.4212448596954346
196,1,0.0,3.051219419741636,3.4250690206069327,5.902538553938021,3.4250690937042236
197,1,0.0,3.093885420839263,3.429003803617031,5.936349415170272,3.4290037155151367
198,1,0.0,3.13651429929904,3.433050139228789,5.970256784439945,3.4330501556396484
199,1,0.0,3.17913289041328,3.4372061111374586,6.003986807501549,3.437206268310547
200,1,0.0,3.221981077699215,3.4414734909678613,6.0376837066523645,3.4414734840393066
201,1,0.0,3.2645275430502436,3.445851057942709,6.071357428916391,3.4458510875701904
202,1,0.0,3.30714908116206,3.450338411071681,6.10515153508151,3.450338363647461
203,1,0.0,3.349550411741784,3.4549348262345654,6.138801071651813,3.45493483543396
204,1,0.0,3.392334417360318,3.4596399501152613,6.172670441435055,3.4596400260925293
205,1,0.0,3.435341809368158,3.4644530333298227,6.206956278153348,3.4644529819488525
206,1,0.0,3.4776314841817086,3.4693731403670527,6.240424539979469,3.4693729877471924
207,1,0.0,3.520261865127943,3.474401140285908,6.2742470962965475,3.4744012355804443
208,1,0.0,3.5625110216623153,3.4795348306928138,6.307879437335462,3.479534864425659
209,1,0.0,3.5930330125696304,3.479539989124659,6.341990941731841,3.4795401096343994
210,1,0.0,3.6436187178810377,3.4688332915948226,6.375886552890555,3.4688332080841064
211,1,0.0,3.69407400457592,3.458208586597942,6.409693192988771,3.4582085609436035
212,1,0.0,3.7447676410441657,3.4476678552875604,6.443588877580165,3.4476678371429443
213,1,0.0,3.7953767676287447,3.437209842497105,6.477450416824597,3.4372098445892334
214,1,0.0,3.84504899763923,3.4268377815410926,6.5104086525543865,3.426837921142578
215,1,0.0,3.896051676248767,3.4165510817778184,6.5443871625858785,3.416551113128662
216,1,0.0,3.9468484345139436,3.4063502734530258,6.578337285560071,3.4063501358032227
217,1,0.0,3.9977835243621307,3.3962354775940184,6.6122377497949225,3.396235466003418
218,1,0.0,4.048356504150452,3.3862076074556757,6.645783744828974,3.3862075805664062
