step,visible,err_obs_gt,err_obs_pf,gt_d,pf_d,obs_d,leader_x,leader_y,follower_x,follower_y,pf_leader_x,pf_leader_y,pf_neff,pf_cov_xx,pf_cov_xy,pf_cov_yy,pf_cov_vxvx,pf_cov_vyvy
65,1,0.0,2.9653746330208883,2.9853330473235853,0.03679841910491702,2.98533296585083,2.7920734882354736,-1.0566641092300415,0.0,0.0,0.007910187356173992,-0.03593817725777626,599.9999996399999,0.5812219381332397,-0.0029795565642416477,0.5665907859802246,0.32529157400131226,0.29735705256462097
66,1,0.0,2.982298407136839,3.0022404518963923,0.03700010299834807,3.0022404193878174,2.8040695190429688,-1.0726797580718994,0.0,0.0,0.00767858698964119,-0.0361945703625679,599.9999996399999,0.5922290682792664,-0.0035694472026079893,0.5769880414009094,0.3277178108692169,0.2982305586338043
67,1,0.0,2.998843664596378,3.019185171737792,0.037579956130065637,3.0191850662231445,2.8160648345947266,-1.0886955261230469,0.0,0.0,0.007771592121571302,-0.036767587065696716,599.9999996399999,0.602882981300354,-0.004223543219268322,0.5871953368186951,0.326423704624176,0.3001359701156616
68,1,0.0,3.0155245920428606,3.036167507173188,0.037674299970559925,3.036167621612549,2.8280603885650635,-1.1047115325927734,0.0,0.0,0.00795263797044754,-0.036825377494096756,599.9999996399999,0.6131116151809692,-0.0045545813627541065,0.597649097442627,0.3260085880756378,0.3010849356651306
69,1,0.0,3.032377966580746,3.0531862185092975,0.03733376319674199,3.0531861782073975,2.8400557041168213,-1.120727300643921,0.0,0.0,0.00816297810524702,-0.036430422216653824,599.9999996399999,0.6237823367118835,-0.004674531053751707,0.6083349585533142,0.32541853189468384,0.30181872844696045
70,1,0.0,3.049148010530772,3.070240914996272,0.037315869169427036,3.0702409744262695,2.85205078125,-1.136743426322937,0.0,0.0,0.008379527367651463,-0.03636286035180092,599.9999996399999,0.6346659064292908,-0.005633448250591755,0.6195791363716125,0.32807090878486633,0.3040875792503357
71,1,0.0,3.065161340048397,3.0873300307208784,0.03796988845545423,3.0873301029205322,2.864044427871704,-1.1527602672576904,0.0,0.0,0.00923963077366352,-0.03682854399085045,599.9999996399999,0.6458825469017029,-0.005892283283174038,0.6307657361030579,0.33035042881965637,0.30440011620521545
72,1,0.0,3.0823625993750747,3.1044525913720897,0.03832313905761543,3.104452610015869,2.8760364055633545,-1.168777346611023,0.0,0.0,0.008863178081810474,-0.037284139543771744,599.9999996399999,0.657695472240448,-0.00649880338460207,0.6420367360115051,0.33243730664253235,0.30306604504585266
73,1,0.0,3.0996605030489146,3.121609925746881,0.037925443874582444,3.121609926223755,2.888028860092163,-1.1847944259643555,0.0,0.0,0.008751523680984974,-0.03690189868211746,599.9999996399999,0.6699601411819458,-0.0067856875248253345,0.653242290019989,0.33233150839805603,0.30555981397628784
74,1,0.0,3.1163569575057726,3.1388020920560122,0.03856929428496109,3.1388022899627686,2.900022268295288,-1.2008119821548462,0.0,0.0,0.008926003240048885,-0.037522219121456146,599.9999996399999,0.6812009215354919,-0.007409359328448772,0.6645280122756958,0.33134377002716064,0.3039645254611969
75,1,0.0,3.133634420772542,3.15602594534358,0.03868721417920413,3.1560258865356445,2.9120137691497803,-1.2168301343917847,0.0,0.0,0.00868532620370388,-0.03769967705011368,599.9999996399999,0.6927325129508972,-0.007958021014928818,0.6767550110816956,0.32945066690444946,0.3064820468425751
76,1,0.0,3.150859523527498,3.1732831420596144,0.039039619492948346,3.173283100128174,2.9240059852600098,-1.2328482866287231,0.0,0.0,0.008438794873654842,-0.03811664506793022,599.9999996399999,0.7044346928596497,-0.008536271750926971,0.6881645917892456,0.33022356033325195,0.3034103512763977
77,1,0.0,3.1684207079919493,3.190570749788617,0.039012576258238944,3.190570592880249,2.9359960556030273,-1.2488670349121094,0.0,0.0,0.008004804141819477,-0.03818251192569733,599.9999996399999,0.7163466215133667,-0.009013384580612183,0.7005789875984192,0.329428106546402,0.3046683669090271
78,1,0.0,3.1851273735511727,3.2078902177303132,0.039663464121746116,3.207890272140503,2.947986364364624,-1.2648857831954956,0.0,0.0,0.008307825773954391,-0.038783635944128036,599.9999996399999,0.7280378937721252,-0.01023301761597395,0.7120680212974548,0.3314300775527954,0.3038189113140106
79,1,0.0,3.202229431155569,3.225241195220432,0.03953609686865677,3.225241184234619,2.9599766731262207,-1.2809054851531982,0.0,0.0,0.008543964475393295,-0.03860186040401459,599.9999996399999,0.7406960725784302,-0.01068322453647852,0.7233970761299133,0.33157631754875183,0.3058452010154724
80,1,0.0,3.219044918177131,3.2426217165549853,0.03993861496372903,3.242621660232544,2.971965789794922,-1.2969251871109009,0.0,0.0,0.00890928041189909,-0.03893221914768219,599.9999996399999,0.753136396408081,-0.010548295453190804,0.7354170083999634,0.33442676067352295,0.3061698079109192
81,1,0.0,3.236301532561243,3.260032457025914,0.03999693630347874,3.2600324153900146,2.983954668045044,-1.3129456043243408,0.0,0.0,0.008947501890361309,-0.0389832928776741,599.9999996399999,0.766413152217865,-0.011154416017234325,0.7479096055030823,0.3374593257904053,0.3067462742328644
82,1,0.0,3.2529018673727026,3.2774722407570445,0.04043573042632008,3.2774722576141357,2.9959425926208496,-1.3289666175842285,0.0,0.0,0.009630720131099224,-0.03927209600806236,599.9999996399999,0.7799371480941772,-0.011713524349033833,0.7598493695259094,0.3374329209327698,0.30746251344680786
83,1,0.0,3.2695017874572505,3.2949420080911724,0.041355181707090356,3.2949419021606445,3.0079309940338135,-1.344988465309143,0.0,0.0,0.010114072822034359,-0.040099333971738815,599.9999996399999,0.793342649936676,-0.012588084675371647,0.7728254795074463,0.33726736903190613,0.31024864315986633
84,1,0.0,3.2873053903322194,3.312439002776504,0.04121601780218991,3.31243896484375,3.0199177265167236,-1.3610103130340576,0.0,0.0,0.009690366685390472,-0.04006066545844078,599.9999996399999,0.806793749332428,-0.013201947323977947,0.7856897115707397,0.33966150879859924,0.3116467595100403
85,1,0.0,3.304573535134402,3.329962905595711,0.041887613035297755,3.329962968826294,3.031902551651001,-1.377032995223999,0.0,0.0,0.009544266387820244,-0.0407857708632946,599.9999996399999,0.8196786642074585,-0.014277946203947067,0.7991527915000916,0.3413749039173126,0.3128913640975952
86,1,0.0,3.3045285154557336,3.3299689344863364,0.04200962847592765,3.3299689292907715,3.031909227371216,-1.3770328760147095,0.0,0.0,0.009544768370687962,-0.040910955518484116,599.9999996399999,0.8335102200508118,-0.015392516739666462,0.8133862018585205,0.34189870953559875,0.3160794973373413
87,1,0.0,3.286298159530601,3.312648394286857,0.04225104516317477,3.312648296356201,3.020242691040039,-1.3607988357543945,0.0,0.0,0.010661333799362183,-0.04088382050395012,599.9999996399999,0.8478702902793884,-0.015580962412059307,0.8268446326255798,0.3431414067745209,0.3176010549068451
88,1,0.0,3.269091770667799,3.295359205503337,0.042125727751732386,3.2953591346740723,3.008577585220337,-1.3445643186569214,0.0,0.0,0.01074821874499321,-0.04073147103190422,599.9999996399999,0.8628692626953125,-0.017355438321828842,0.841608464717865,0.3427562117576599,0.31753063201904297
89,1,0.0,3.2516479137711736,3.2781008380303507,0.04250147385460992,3.2781007289886475,2.9969124794006348,-1.3283300399780273,0.0,0.0,0.010913060978055,-0.04107651859521866,599.9999996399999,0.877905547618866,-0.01802174374461174,0.855863630771637,0.34317097067832947,0.3185354173183441
90,1,0.0,3.2337361283388835,3.2608743365426003,0.042927524130778154,3.2608742713928223,2.98524808883667,-1.3120957612991333,0.0,0.0,0.011672234162688255,-0.041310183703899384,599.9999996399999,0.8937754034996033,-0.018835708498954773,0.8701120615005493,0.3415854573249817,0.31610774993896484
91,1,0.0,0.7066013808564516,3.2436782534887625,2.547028344470924,3.243678092956543,2.9735820293426514,-1.295862078666687,0.0,0.0,2.37479305267334,-0.920712411403656,599.9999851113682,3.8426182374928786e-11,1.5148805820874855e-11,5.972136413873175e-12,4.9467950569148655e-11,2.566841184048485e-11
92,1,0.0,0.6561632403516652,3.2265150190806877,2.577747950010699,3.226515054702759,2.961916923522949,-1.279627799987793,0.0,0.0,2.399801254272461,-0.9411367774009705,599.9999851113682,3.5295750421937555e-05,5.316361693985527e-06,7.695850217714906e-05,0.0009302513208240271,0.0009633746230974793
93,1,0.0,0.6010231703029855,3.2093846577180813,2.6131113711174896,3.2093846797943115,2.950251817703247,-1.2633938789367676,0.0,0.0,2.428093433380127,-0.9657708406448364,599.9999851113682,5.42199268238619e-05,1.712716039037332e-05,0.00010243656288366765,0.0018616532906889915,0.0014314906438812613
94,1,0.0,0.5446198987701213,3.1922875068618146,2.6506784577383145,3.1922874450683594,2.938586711883545,-1.2471598386764526,0.0,0.0,2.459907293319702,-0.987396776676178,599.9999851113682,0.00011700037430273369,6.546649819938466e-05,0.00015632125723641366,0.0018286509439349174,0.0026941753458231688
95,1,0.0,0.4853668604947871,3.175224417012187,2.692675386369801,3.175224542617798,2.926921844482422,-1.2309259176254272,0.0,0.0,2.5003554821014404,-0.9993613958358765,599.9999851113682,0.0001766563655110076,7.081427611410618e-05,0.0001218365941895172,0.001240571727976203,0.001988782547414303
